time,z,x,y,vel,accel,rot,UserForce,Voltage1,Voltage2,Voltage3
391.00,25.17,69.67,0.00,0.257,-0.001,0.21,37.89,,,
392.00,25.33,69.33,0.00,0.256,-0.001,0.21,37.60,,,
393.00,25.50,69.00,0.00,0.255,-0.001,0.21,37.31,,,
394.00,25.67,68.67,0.00,0.254,-0.001,0.21,37.01,,,
395.00,25.83,68.33,0.00,0.253,-0.001,0.21,36.72,,,
396.00,26.00,68.00,0.00,0.252,-0.001,0.22,36.42,,,
397.00,26.17,67.67,0.00,0.251,-0.001,0.22,36.12,,,
398.00,26.33,67.33,0.00,0.250,-0.001,0.22,35.82,,,
399.00,26.50,67.00,0.00,0.249,-0.001,0.22,35.52,,,
400.00,26.67,66.67,0.00,0.248,-0.001,0.22,35.21,,,
401.00,26.83,66.33,0.00,0.247,-0.001,0.22,34.91,,,
402.00,27.00,66.00,0.00,0.246,-0.001,0.22,34.60,,,
403.00,27.17,65.67,0.00,0.245,-0.001,0.23,34.29,,,
404.00,27.33,65.33,0.00,0.244,-0.001,0.23,33.98,,,
405.00,27.50,65.00,0.00,0.243,-0.001,0.23,33.67,,,
406.00,27.67,64.67,0.00,0.241,-0.001,0.23,33.35,,,
407.00,27.83,64.33,0.00,0.240,-0.001,0.23,33.03,,,
408.00,28.00,64.00,0.00,0.239,-0.001,0.23,32.72,,,
409.00,28.17,63.67,0.00,0.238,-0.001,0.24,32.40,,,
410.00,28.33,63.33,0.00,0.237,-0.001,0.24,32.07,,,
411.00,28.50,63.00,0.00,0.236,-0.001,0.24,31.75,,,
412.00,28.67,62.67,0.00,0.234,-0.001,0.24,31.42,,,
413.00,28.83,62.33,0.00,0.233,-0.001,0.24,31.10,,,
414.00,29.00,62.00,0.00,0.232,-0.001,0.24,30.77,,,
415.00,29.17,61.67,0.00,0.231,-0.001,0.25,30.44,,,
416.00,29.33,61.33,0.00,0.229,-0.001,0.25,30.11,,,
417.00,29.50,61.00,0.00,0.228,-0.001,0.25,29.77,,,
418.00,29.67,60.67,0.00,0.227,-0.001,0.25,29.44,,,
419.00,29.83,60.33,0.00,0.226,-0.001,0.25,29.10,,,
420.00,30.00,60.00,0.00,0.224,-0.001,0.25,28.77,,,
421.00,30.17,59.67,0.00,0.223,-0.001,0.26,28.43,,,
422.00,30.33,59.33,0.00,0.222,-0.001,0.26,28.09,,,
423.00,30.50,59.00,0.00,0.220,-0.001,0.26,27.75,,,
424.00,30.67,58.67,0.00,0.219,-0.001,0.26,27.40,,,
425.00,30.83,58.33,0.00,0.218,-0.001,0.26,27.06,,,
426.00,31.00,58.00,0.00,0.216,-0.001,0.26,26.71,,,
427.00,31.17,57.67,0.00,0.215,-0.001,0.27,26.37,,,
428.00,31.33,57.33,0.00,0.213,-0.001,0.27,26.02,,,
429.00,31.50,57.00,0.00,0.212,-0.001,0.27,25.67,,,
430.00,31.67,56.67,0.00,0.210,-0.001,0.27,25.32,,,
431.00,31.83,56.33,0.00,0.209,-0.001,0.27,24.97,,,
432.00,32.00,56.00,0.00,0.207,-0.001,0.27,24.62,,,
433.00,32.17,55.67,0.00,0.206,-0.001,0.28,24.26,,,
434.00,32.33,55.33,0.00,0.204,-0.002,0.28,23.91,,,
435.00,32.50,55.00,0.00,0.203,-0.002,0.28,23.56,,,
436.00,32.67,54.67,0.00,0.201,-0.002,0.28,23.20,,,
437.00,32.83,54.33,0.00,0.200,-0.002,0.28,22.85,,,
438.00,33.00,54.00,0.00,0.198,-0.002,0.29,22.49,,,
439.00,33.17,53.67,0.00,0.197,-0.002,0.29,22.13,,,
440.00,33.33,53.33,0.00,0.195,-0.002,0.29,21.78,,,
441.00,33.50,53.00,0.00,0.194,-0.002,0.29,21.42,,,
442.00,33.67,52.67,0.00,0.192,-0.002,0.29,21.06,,,
443.00,33.83,52.33,0.00,0.190,-0.002,0.29,20.70,,,
444.00,34.00,52.00,0.00,0.189,-0.002,0.30,20.35,,,
445.00,34.17,51.67,0.00,0.187,-0.002,0.30,19.99,,,
446.00,34.33,51.33,0.00,0.185,-0.002,0.30,19.63,,,
447.00,34.50,51.00,0.00,0.184,-0.002,0.30,19.27,,,
448.00,34.67,50.67,0.00,0.182,-0.002,0.30,18.91,,,
449.00,34.83,50.33,0.00,0.180,-0.002,0.30,18.55,,,
450.00,35.00,50.00,0.00,0.178,-0.002,0.31,18.20,,,
451.00,35.17,49.67,0.00,0.177,-0.002,0.31,17.84,,,
452.00,35.33,49.33,0.00,0.175,-0.002,0.31,17.48,,,
453.00,35.50,49.00,0.00,0.173,-0.002,0.31,17.13,,,
454.00,35.67,48.67,0.00,0.171,-0.002,0.31,16.77,,,
455.00,35.83,48.33,0.00,0.169,-0.002,0.32,16.42,,,
456.00,36.00,48.00,0.00,0.168,-0.002,0.32,16.06,,,
457.00,36.17,47.67,0.00,0.166,-0.002,0.32,15.71,,,
458.00,36.33,47.33,0.00,0.164,-0.002,0.32,15.36,,,
459.00,36.50,47.00,0.00,0.162,-0.002,0.32,15.01,,,
460.00,36.67,46.67,0.00,0.160,-0.002,0.32,14.66,,,
461.00,36.83,46.33,0.00,0.158,-0.002,0.33,14.31,,,
462.00,37.00,46.00,0.00,0.156,-0.002,0.33,13.96,,,
463.00,37.17,45.67,0.00,0.154,-0.002,0.33,13.62,,,
464.00,37.33,45.33,0.00,0.152,-0.002,0.33,13.27,,,
465.00,37.50,45.00,0.00,0.150,-0.002,0.33,12.93,,,
466.00,37.67,44.67,0.00,0.148,-0.002,0.33,12.59,,,
467.00,37.83,44.33,0.00,0.146,-0.002,0.34,12.25,,,
468.00,38.00,44.00,0.00,0.144,-0.002,0.34,11.92,,,
469.00,38.17,43.67,0.00,0.142,-0.002,0.34,11.58,,,
470.00,38.33,43.33,0.00,0.140,-0.002,0.34,11.25,,,
471.00,38.50,43.00,0.00,0.138,-0.002,0.34,10.92,,,
472.00,38.67,42.67,0.00,0.136,-0.002,0.34,10.60,,,
473.00,38.83,42.33,0.00,0.134,-0.002,0.35,10.27,,,
474.00,39.00,42.00,0.00,0.132,-0.002,0.35,9.95,,,
475.00,39.17,41.67,0.00,0.130,-0.002,0.35,9.63,,,
476.00,39.33,41.33,0.00,0.128,-0.002,0.35,9.32,,,
477.00,39.50,41.00,0.00,0.125,-0.002,0.35,9.01,,,
478.00,39.67,40.67,0.00,0.123,-0.002,0.35,8.70,,,
479.00,39.83,40.33,0.00,0.121,-0.002,0.36,8.39,,,
480.00,40.00,40.00,0.00,0.119,-0.002,0.36,8.09,,,
481.00,40.17,39.67,0.00,0.117,-0.002,0.36,7.79,,,
482.00,40.33,39.33,0.00,0.115,-0.002,0.36,7.50,,,
483.00,40.50,39.00,0.00,0.112,-0.002,0.36,7.21,,,
484.00,40.67,38.67,0.00,0.110,-0.002,0.36,6.92,,,
485.00,40.83,38.33,0.00,0.108,-0.002,0.36,6.64,,,
486.00,41.00,38.00,0.00,0.105,-0.002,0.37,6.36,,,
487.00,41.17,37.67,0.00,0.103,-0.002,0.37,6.09,,,
488.00,41.33,37.33,0.00,0.101,-0.002,0.37,5.82,,,
489.00,41.50,37.00,0.00,0.099,-0.002,0.37,5.56,,,
490.00,41.67,36.67,0.00,0.096,-0.002,0.37,5.30,,,
491.00,41.83,36.33,0.00,0.094,-0.002,0.37,5.04,,,
492.00,42.00,36.00,0.00,0.092,-0.002,0.37,4.79,,,
493.00,42.17,35.67,0.00,0.089,-0.002,0.38,4.55,,,
494.00,42.33,35.33,0.00,0.087,-0.002,0.38,4.31,,,
495.00,42.50,35.00,0.00,0.084,-0.002,0.38,4.08,,,
496.00,42.67,34.67,0.00,0.082,-0.002,0.38,3.85,,,
497.00,42.83,34.33,0.00,0.080,-0.002,0.38,3.63,,,
498.00,43.00,34.00,0.00,0.077,-0.002,0.38,3.41,,,
499.00,43.17,33.67,0.00,0.075,-0.002,0.38,3.20,,,
500.00,43.33,33.33,0.00,0.072,-0.002,0.38,2.99,,,
501.00,43.50,33.00,0.00,0.070,-0.002,0.38,2.79,,,
502.00,43.67,32.67,0.00,0.067,-0.002,0.38,2.60,,,
503.00,43.83,32.33,0.00,0.065,-0.002,0.39,2.41,,,
504.00,44.00,32.00,0.00,0.063,-0.002,0.39,2.23,,,
505.00,44.17,31.67,0.00,0.060,-0.002,0.39,2.06,,,
506.00,44.33,31.33,0.00,0.058,-0.002,0.39,1.89,,,
507.00,44.50,31.00,0.00,0.055,-0.002,0.39,1.73,,,
508.00,44.67,30.67,0.00,0.053,-0.003,0.39,1.58,,,
509.00,44.83,30.33,0.00,0.050,-0.003,0.39,1.43,,,
510.00,45.00,30.00,0.00,0.047,-0.003,0.39,1.29,,,
511.00,45.17,29.67,0.00,0.045,-0.003,0.39,1.15,,,
512.00,45.33,29.33,0.00,0.042,-0.003,0.39,1.03,,,
513.00,45.50,29.00,0.00,0.040,-0.003,0.39,0.91,,,
514.00,45.67,28.67,0.00,0.037,-0.003,0.39,0.79,,,
515.00,45.83,28.33,0.00,0.035,-0.003,0.39,0.69,,,
516.00,46.00,28.00,0.00,0.032,-0.003,0.39,0.59,,,
517.00,46.17,27.67,0.00,0.030,-0.003,0.40,0.50,,,
518.00,46.33,27.33,0.00,0.027,-0.003,0.40,0.42,,,
519.00,46.50,27.00,0.00,0.025,-0.003,0.40,0.34,,,
520.00,46.67,26.67,0.00,0.022,-0.003,0.40,0.27,,,
521.00,46.83,26.33,0.00,0.019,-0.003,0.40,0.21,,,
522.00,47.00,26.00,0.00,0.017,-0.003,0.40,0.16,,,
523.00,47.17,25.67,0.00,0.014,-0.003,0.40,0.11,,,
524.00,47.33,25.33,0.00,0.012,-0.003,0.40,0.07,,,
525.00,47.50,25.00,0.00,0.009,-0.003,0.40,0.04,,,
526.00,47.67,24.67,0.00,0.006,-0.003,0.40,0.02,,,
527.00,47.83,24.33,0.00,0.004,-0.003,0.40,0.01,,,
528.00,48.00,24.00,0.00,0.001,-0.003,0.40,0.00,,,
529.00,48.17,23.67,0.00,0.001,0.000,0.40,0.00,,,
530.00,48.33,23.33,0.00,0.004,0.003,0.40,0.01,,,
531.00,48.50,23.00,0.00,0.006,0.003,0.40,0.03,,,
532.00,48.67,22.67,0.00,0.009,0.003,0.40,0.05,,,
533.00,48.83,22.33,0.00,0.012,0.003,0.40,0.08,,,
534.00,49.00,22.00,0.00,0.014,0.003,0.40,0.12,,,
535.00,49.17,21.67,0.00,0.017,0.003,0.40,0.16,,,
536.00,49.33,21.33,0.00,0.019,0.003,0.40,0.22,,,
537.00,49.50,21.00,0.00,0.022,0.003,0.40,0.28,,,
538.00,49.67,20.67,0.00,0.025,0.003,0.40,0.35,,,
539.00,49.83,20.33,0.00,0.027,0.003,0.40,0.42,,,
540.00,50.00,20.00,0.00,0.030,0.003,0.40,0.51,,,
,,,,,,,,,,
,,,,,,,,,,
